human_line,YOLO line,ModelB line,YOLO error,ModelB error
633.0,622.0,622.0287170540541,11.0,10.971282945945859
634.0,622.0,633.0000123977661,12.0,0.9999876022338867
633.0,622.0,633.0000123977661,11.0,1.239776611328125e-05
637.0,622.0,632.999020576477,15.0,4.000979423522949
637.0,622.0,637.0290117263794,15.0,0.02901172637939453
638.0,622.0,637.0290117263794,16.0,0.9709882736206055
638.0,626.0,641.0285167694092,12.0,3.0285167694091797
639.0,626.0,638.003472328186,13.0,0.9965276718139648
637.0,624.0,636.0035667419434,13.0,0.9964332580566406
637.0,625.0,637.0029001235962,12.0,0.0029001235961914062
635.0,625.0,637.0029001235962,10.0,2.0029001235961914
638.0,624.0,636.0028448104858,14.0,1.9971551895141602
637.0,624.0,636.0028448104858,13.0,0.9971551895141602
637.0,624.0,636.0057430267334,13.0,0.9942569732666016
637.0,615.0,627.0023555755615,22.0,9.997644424438477
637.0,615.0,637.003849029541,22.0,0.003849029541015625
634.0,615.0,637.0026741027832,19.0,3.002674102783203
635.0,615.0,634.0999736785889,20.0,0.9000263214111328
631.0,613.0,632.1004848480225,18.0,1.100484848022461
634.0,616.0,635.101245880127,18.0,1.1012458801269531
631.0,616.0,635.101245880127,15.0,4.101245880126953
630.0,613.0,627.9994468688965,17.0,2.0005531311035156
633.0,613.0,627.9994468688965,20.0,5.000553131103516
629.0,632.0,651.0015697479248,3.0,22.001569747924805
631.0,630.0,632.0741248130798,1.0,1.074124813079834
627.0,629.0,631.074688911438,2.0,4.074688911437988
627.0,628.0,628.8074844479561,1.0,1.8074844479560852
626.0,627.0,627.807618021965,1.0,1.8076180219650269
629.0,626.0,626.807565331459,3.0,2.1924346685409546
625.0,626.0,626.807565331459,1.0,1.8075653314590454
626.0,623.0,623.807677090168,3.0,2.1923229098320007
626.0,623.0,623.807677090168,3.0,2.1923229098320007
625.0,624.0,624.8074214458466,1.0,0.19257855415344238
622.0,627.0,627.8077688217163,5.0,5.807768821716309
624.0,627.0,626.8604890555143,3.0,2.8604890555143356
624.0,623.0,622.860478207469,1.0,1.1395217925310135
624.0,623.0,622.860478207469,1.0,1.1395217925310135
625.0,624.0,623.860467210412,1.0,1.1395327895879745
625.0,624.0,623.8604755550623,1.0,1.139524444937706
625.0,624.0,623.8604755550623,1.0,1.139524444937706
625.0,627.0,626.860488012433,2.0,1.860488012433052
621.0,627.0,626.860488012433,6.0,5.860488012433052
624.0,625.0,624.2110307216644,1.0,0.2110307216644287
625.0,626.0,625.2109327316284,1.0,0.21093273162841797
625.0,626.0,625.2109327316284,1.0,0.21093273162841797
624.0,626.0,625.2109041810036,2.0,1.2109041810035706
622.0,626.0,625.2109041810036,4.0,3.2109041810035706
622.0,626.0,624.054135799408,4.0,2.054135799407959
622.0,626.0,624.0538392066956,4.0,2.0538392066955566
622.0,625.0,623.053842663765,3.0,1.0538426637649536
624.0,625.0,623.053842663765,1.0,0.9461573362350464
624.0,627.0,625.0538268089294,3.0,1.0538268089294434
620.0,624.0,622.0538135766983,4.0,2.0538135766983032
618.0,624.0,622.0538135766983,6.0,4.053813576698303
620.0,621.0,615.4000158309937,1.0,4.599984169006348
618.0,621.0,619.1355479955673,3.0,1.1355479955673218
620.0,622.0,620.1355985403061,2.0,0.1355985403060913
617.0,621.0,619.135027050972,4.0,2.135027050971985
616.0,618.0,616.1354231834412,2.0,0.1354231834411621
617.0,618.0,616.1354231834412,1.0,0.8645768165588379
618.0,614.0,612.1352506875992,4.0,5.864749312400818
616.0,614.0,613.989833233878,2.0,2.0101667661219835
614.0,612.0,611.989842472598,2.0,2.0101575274020433
614.0,612.0,611.989843128249,2.0,2.010156871750951
612.0,609.0,608.989792464301,3.0,3.01020753569901
613.0,609.0,611.250607252121,4.0,1.7493927478790283
611.0,608.0,610.2506682872772,3.0,0.7493317127227783
611.0,604.0,606.2507996559143,7.0,4.749200344085693
609.0,604.0,611.0000214576721,5.0,2.000021457672119
608.0,606.0,612.9994587898254,2.0,4.9994587898254395
605.0,606.0,608.1129288673401,1.0,3.112928867340088
607.0,599.0,598.8991841524839,8.0,8.10081584751606
605.0,600.0,607.9898810386658,5.0,2.9898810386657715
608.0,600.0,607.9898810386658,8.0,0.010118961334228516
605.0,593.0,600.9904837608337,12.0,4.00951623916626
605.0,593.0,605.000020980835,12.0,2.09808349609375e-05
603.0,591.0,603.001874923706,12.0,0.0018749237060546875
603.0,592.0,604.001410484314,11.0,1.0014104843139648
604.0,592.0,604.001410484314,12.0,0.0014104843139648438
604.0,593.0,605.0015897750854,11.0,1.0015897750854492
603.0,593.0,605.0015897750854,10.0,2.001589775085449
604.0,592.0,604.0031023025513,12.0,0.0031023025512695312
604.0,590.0,602.0041351318359,14.0,1.9958648681640625
604.0,590.0,602.0041351318359,14.0,1.9958648681640625
605.0,590.0,602.0062856674194,15.0,2.9937143325805664
605.0,590.0,602.0062856674194,15.0,2.9937143325805664
609.0,589.0,601.0083236694336,20.0,7.991676330566406
609.0,592.0,612.0019607543945,17.0,3.0019607543945312
608.0,592.0,609.0000495910645,16.0,1.0000495910644531
614.0,591.0,608.0058078765869,23.0,5.994192123413086
