human_line,YOLO line,ModelB line,YOLO error,ModelB error
318.0,349.0,348.5727459192276,31.0,30.5727459192276
317.0,349.0,330.39636421203613,32.0,13.396364212036133
326.0,349.0,317.10594749450684,23.0,8.894052505493164
324.0,346.0,322.9709987640381,22.0,1.029001235961914
311.0,344.0,320.9714012145996,33.0,9.97140121459961
316.0,344.0,311.0,28.0,5.0
316.0,346.0,317.99979972839355,30.0,1.9997997283935547
314.0,346.0,317.99979972839355,32.0,3.9997997283935547
312.0,345.0,313.03328704833984,33.0,1.0332870483398438
317.0,344.0,312.03319358825684,27.0,4.966806411743164
316.0,344.0,316.99790382385254,28.0,0.9979038238525391
311.0,344.0,316.99728775024414,33.0,5.997287750244141
311.0,344.0,311.5396308898926,33.0,0.5396308898925781
312.0,346.0,313.5362358093262,34.0,1.5362358093261719
311.0,340.0,307.5406684875488,29.0,3.459331512451172
311.0,340.0,310.5182189941406,29.0,0.481781005859375
309.0,339.0,309.51609992980957,30.0,0.5160999298095703
312.0,339.0,309.51609992980957,27.0,2.4839000701904297
307.0,338.0,308.51552963256836,31.0,1.5155296325683594
305.0,339.0,309.516019821167,34.0,4.516019821166992
304.0,339.0,305.7162284851074,35.0,1.7162284851074219
307.0,338.0,304.71713638305664,31.0,2.2828636169433594
308.0,338.0,304.71713638305664,30.0,3.2828636169433594
304.0,333.0,302.43423080444336,29.0,1.5657691955566406
305.0,333.0,302.43975830078125,28.0,2.56024169921875
305.0,333.0,302.43975830078125,28.0,2.56024169921875
300.0,331.0,300.4407711029053,31.0,0.44077110290527344
305.0,331.0,300.4407711029053,26.0,4.559228897094727
304.0,331.0,304.98424911499023,27.0,0.9842491149902344
298.0,331.0,304.9842071533203,33.0,6.9842071533203125
308.0,331.0,298.3050003051758,23.0,9.694999694824219
298.0,328.0,305.00124740600586,30.0,7.001247406005859
299.0,328.0,297.9998722076416,29.0,1.0001277923583984
303.0,325.0,295.0013904571533,22.0,7.99860954284668
295.0,325.0,303.00000190734863,30.0,8.000001907348633
300.0,323.0,293.0000190734863,23.0,6.999980926513672
294.0,322.0,299.00127601623535,28.0,5.001276016235352
292.0,322.0,294.047550201416,30.0,2.0475502014160156
294.0,320.0,292.0494384765625,26.0,1.9505615234375
296.0,320.0,292.0494384765625,24.0,3.9505615234375
295.0,320.0,295.97507095336914,25.0,0.9750709533691406
294.0,320.0,295.97327423095703,26.0,1.9732742309570312
291.0,320.0,295.97327423095703,29.0,4.973274230957031
294.0,319.0,290.69298362731934,25.0,3.307016372680664
292.0,319.0,293.772008895874,27.0,1.7720088958740234
298.0,317.0,291.76935386657715,19.0,6.230646133422852
292.0,316.0,296.999662399292,24.0,4.999662399291992
292.0,316.0,292.02732849121094,24.0,0.0273284912109375
296.0,316.0,292.02406120300293,20.0,3.9759387969970703
294.0,316.0,295.9974594116211,22.0,1.9974594116210938
287.0,318.0,297.99818229675293,31.0,10.99818229675293
288.0,317.0,285.9964370727539,29.0,2.0035629272460938
285.0,317.0,285.9964370727539,32.0,0.9964370727539062
288.0,318.0,286.9932403564453,30.0,1.0067596435546875
286.0,318.0,286.9932403564453,32.0,0.9932403564453125
287.0,318.0,286.99146270751953,31.0,0.00853729248046875
288.0,315.0,283.9913692474365,27.0,4.008630752563477
286.0,315.0,287.9977226257324,29.0,1.9977226257324219
288.0,316.0,288.99462127685547,28.0,0.9946212768554688
286.0,316.0,288.99462127685547,30.0,2.9946212768554688
286.0,315.0,287.9941463470459,29.0,1.9941463470458984
287.0,314.0,286.9912624359131,27.0,0.008737564086914062
285.0,314.0,286.9912624359131,29.0,1.991262435913086
288.0,312.0,284.99338150024414,24.0,3.0066184997558594
285.0,312.0,287.9000949859619,27.0,2.900094985961914
282.0,313.0,288.8997001647949,31.0,6.899700164794922
282.0,313.0,282.2632293701172,31.0,0.2632293701171875
287.0,313.0,282.2632293701172,26.0,4.7367706298828125
283.0,313.0,286.9919681549072,30.0,3.9919681549072266
281.0,313.0,283.8734874725342,32.0,2.8734874725341797
282.0,314.0,284.8708019256592,32.0,2.8708019256591797
282.0,315.0,285.871150970459,33.0,3.8711509704589844
279.0,315.0,282.8197937011719,36.0,3.819793701171875
274.0,315.0,279.9635429382324,41.0,5.963542938232422
279.0,315.0,274.78883361816406,36.0,4.2111663818359375
273.0,314.0,277.73300552368164,41.0,4.733005523681641
275.0,314.0,273.83052825927734,39.0,1.1694717407226562
283.0,314.0,273.83052825927734,31.0,9.169471740722656
272.0,312.0,281.0005741119385,40.0,9.000574111938477
277.0,312.0,271.99929428100586,35.0,5.000705718994141
275.0,313.0,277.9879570007324,38.0,2.987957000732422
282.0,313.0,277.99052810668945,31.0,4.009471893310547
278.0,313.0,281.9472541809082,35.0,3.947254180908203
