human_line,YOLO line,ModelB line,YOLO error,ModelB error
937.0,946.0,946.0144853862002,9.0,9.01448538620025
937.0,946.0,937.8831977844238,9.0,0.8831977844238281
939.0,946.0,937.8831977844238,7.0,1.1168022155761719
942.0,947.0,938.882869720459,5.0,3.1171302795410156
943.0,947.0,941.9598178863525,4.0,1.040182113647461
944.0,947.0,941.9598178863525,3.0,2.040182113647461
947.0,961.0,955.9610004425049,14.0,8.961000442504883
946.0,961.0,947.000036239624,15.0,1.0000362396240234
946.0,964.0,949.9993867874146,18.0,3.999386787414551
948.0,964.0,946.002233505249,16.0,1.9977664947509766
948.0,964.0,946.002233505249,16.0,1.9977664947509766
950.0,963.0,945.0027561187744,13.0,4.997243881225586
951.0,963.0,949.9999990463257,12.0,1.0000009536743164
952.0,962.0,949.0001220703125,10.0,2.9998779296875
952.0,955.0,941.9997568130493,3.0,10.000243186950684
952.0,955.0,950.7335186004639,3.0,1.2664813995361328
953.0,955.0,950.7337331771851,2.0,2.2662668228149414
952.0,955.0,950.7337331771851,3.0,1.2662668228149414
953.0,956.0,951.7337770462036,3.0,1.2662229537963867
952.0,953.0,948.7329597473145,1.0,3.267040252685547
956.0,953.0,951.0058411359787,3.0,4.994158864021301
953.0,954.0,954.0160148106515,1.0,1.0160148106515408
956.0,954.0,954.0160148106515,2.0,1.9839851893484592
955.0,956.0,956.0159674100578,1.0,1.0159674100577831
957.0,955.0,955.0158494450152,2.0,1.984150554984808
957.0,956.0,956.0158221535385,1.0,0.9841778464615345
961.0,957.0,957.0157783739269,4.0,3.984221626073122
956.0,959.0,959.2987794876099,3.0,3.2987794876098633
957.0,959.0,958.8547635525465,2.0,1.8547635525465012
957.0,959.0,958.8547741919756,2.0,1.8547741919755936
956.0,957.0,956.8547597527504,1.0,0.8547597527503967
959.0,957.0,956.8547597527504,2.0,2.1452402472496033
960.0,961.0,960.8547301739454,1.0,0.8547301739454269
960.0,961.0,960.8547301739454,1.0,0.8547301739454269
964.0,960.0,959.8546595275402,4.0,4.145340472459793
963.0,962.0,962.3041575849056,1.0,0.6958424150943756
965.0,962.0,962.3041575849056,3.0,2.6958424150943756
963.0,960.0,960.304173886776,3.0,2.6958261132240295
963.0,960.0,960.304173886776,3.0,2.6958261132240295
965.0,963.0,963.3041964769363,2.0,1.6958035230636597
968.0,962.0,962.304217517376,6.0,5.695782482624054
965.0,962.0,964.820454120636,3.0,0.17954587936401367
969.0,963.0,965.8202290534973,6.0,3.1797709465026855
969.0,963.0,968.9999890327454,6.0,1.0967254638671875e-05
970.0,963.0,969.0006251335144,7.0,0.9993748664855957
969.0,965.0,971.0008687973022,4.0,2.000868797302246
969.0,965.0,971.0008687973022,4.0,2.000868797302246
974.0,969.0,975.0016293525696,5.0,1.00162935256958
973.0,969.0,975.0016293525696,4.0,2.00162935256958
972.0,970.0,976.0011692047119,2.0,4.001169204711914
974.0,971.0,973.0719249248505,3.0,0.9280750751495361
974.0,971.0,973.0719249248505,3.0,0.9280750751495361
978.0,971.0,973.071700334549,7.0,4.92829966545105
978.0,971.0,977.99755859375,7.0,0.00244140625
979.0,975.0,981.997362613678,4.0,2.9973626136779785
981.0,974.0,980.9982581138611,7.0,0.0017418861389160156
979.0,974.0,980.9982581138611,5.0,1.998258113861084
983.0,975.0,981.9986944198608,8.0,1.0013055801391602
979.0,975.0,981.9986944198608,4.0,2.99869441986084
983.0,981.0,988.0011439323425,2.0,5.001143932342529
986.0,981.0,983.2483913898468,5.0,2.7516086101531982
985.0,981.0,983.2483913898468,4.0,1.7516086101531982
986.0,983.0,985.2486245632172,3.0,0.7513754367828369
986.0,983.0,985.2486245632172,3.0,0.7513754367828369
986.0,985.0,987.2489879131317,1.0,1.2489879131317139
987.0,989.0,991.2496812343597,2.0,4.249681234359741
987.0,989.0,988.2378418445587,2.0,1.2378418445587158
985.0,991.0,990.2379711270332,6.0,5.237971127033234
987.0,991.0,985.3430509567261,4.0,1.6569490432739258
989.0,993.0,987.3423080444336,4.0,1.6576919555664062
991.0,998.0,992.3418807983398,7.0,1.3418807983398438
990.0,998.0,992.3418807983398,8.0,2.3418807983398438
994.0,995.0,989.3419895172119,1.0,4.658010482788086
992.0,998.0,995.7383778095245,6.0,3.738377809524536
994.0,1000.0,994.6797127723694,6.0,0.6797127723693848
995.0,1000.0,994.6797127723694,5.0,0.32028722763061523
998.0,1000.0,994.6795492172241,2.0,3.320450782775879
995.0,1000.0,997.338446855545,5.0,2.338446855545044
1000.0,1002.0,999.3380212783813,2.0,0.6619787216186523
999.0,1002.0,999.3380212783813,3.0,0.33802127838134766
1001.0,1005.0,1002.3379905223846,4.0,1.3379905223846436
1004.0,1005.0,1002.3379905223846,1.0,1.6620094776153564
1005.0,1008.0,1005.3375639915466,3.0,0.33756399154663086
1008.0,1021.0,1018.3375947475433,13.0,10.337594747543335
1014.0,1021.0,1010.7727584838867,7.0,3.2272415161132812
1017.0,1026.0,1018.7912821769714,9.0,1.7912821769714355
1016.0,1026.0,1018.7912821769714,10.0,2.7912821769714355
1024.0,1031.0,1023.7921285629272,7.0,0.2078714370727539
1029.0,1038.0,1030.791736125946,9.0,1.791736125946045
1027.0,1038.0,1030.791736125946,11.0,3.791736125946045
1034.0,1048.0,1037.0526142120361,14.0,3.052614212036133
1034.0,1048.0,1033.9256744384766,14.0,0.0743255615234375
1042.0,1057.0,1042.9288368225098,15.0,0.9288368225097656
1052.0,1065.0,1050.930630683899,13.0,1.0693693161010742
1052.0,1065.0,1050.930630683899,13.0,1.0693693161010742
1059.0,1068.0,1053.9328107833862,9.0,5.0671892166137695
1059.0,1068.0,1058.9821376800537,9.0,0.017862319946289062
1068.0,1076.0,1065.5203876495361,8.0,2.479612350463867
1078.0,1085.0,1075.9837226867676,7.0,2.016277313232422
1078.0,1085.0,1075.9837226867676,7.0,2.016277313232422
1083.0,1103.0,1093.9879455566406,20.0,10.987945556640625
1085.0,1103.0,1083.5741748809814,18.0,1.4258251190185547
1095.0,1113.0,1093.5747165679932,18.0,1.425283432006836
1105.0,1122.0,1102.5837020874023,17.0,2.4162979125976562
1107.0,1122.0,1102.5837020874023,15.0,4.416297912597656
1113.0,1125.0,1109.952241897583,12.0,3.047758102416992
1116.0,1125.0,1112.9964056015015,9.0,3.003594398498535
1124.0,1137.0,1127.9968881607056,13.0,3.9968881607055664
1131.0,1138.0,1125.002209663391,7.0,5.997790336608887
1134.0,1138.0,1130.9304265975952,4.0,3.069573402404785
1142.0,1145.0,1140.9712619781494,3.0,1.028738021850586
1143.0,1145.0,1140.9712619781494,2.0,2.028738021850586
1151.0,1154.0,1149.9716229438782,3.0,1.0283770561218262
1159.0,1160.0,1155.9715037345886,1.0,3.028496265411377
1166.0,1164.0,1162.9739359617233,2.0,3.0260640382766724
1168.0,1164.0,1165.6249134540558,4.0,2.375086545944214
1174.0,1171.0,1172.6250157356262,3.0,1.3749842643737793
1178.0,1185.0,1186.6250734329224,7.0,8.625073432922363
1179.0,1185.0,1178.6953210830688,6.0,0.30467891693115234
1187.0,1189.0,1182.6935839653015,2.0,4.306416034698486
1185.0,1189.0,1186.7944586277008,4.0,1.7944586277008057
1190.0,1196.0,1193.7948350906372,6.0,3.794835090637207
1189.0,1196.0,1190.014042854309,7.0,1.014042854309082
1195.0,1192.0,1186.0123281478882,3.0,8.987671852111816
1195.0,1193.0,1193.8907959461212,2.0,1.1092040538787842
1199.0,1193.0,1193.8907959461212,6.0,5.109204053878784
1199.0,1193.0,1198.0526485443115,6.0,0.9473514556884766
1200.0,1193.0,1198.0526485443115,7.0,1.9473514556884766
1199.0,1194.0,1199.053304195404,5.0,0.053304195404052734
1198.0,1193.0,1198.0544843673706,5.0,0.05448436737060547
1199.0,1193.0,1198.0544843673706,6.0,0.9455156326293945
1200.0,1195.0,1200.0537967681885,5.0,0.05379676818847656
1200.0,1195.0,1200.0537967681885,5.0,0.05379676818847656
1198.0,1189.0,1194.0545840263367,9.0,3.94541597366333
1195.0,1189.0,1197.998324394226,6.0,2.998324394226074
1198.0,1189.0,1197.998324394226,9.0,0.0016756057739257812
1194.0,1186.0,1194.9983282089233,8.0,0.9983282089233398
1194.0,1186.0,1194.9983282089233,8.0,0.9983282089233398
1187.0,1186.0,1194.9990892410278,1.0,7.999089241027832
1186.0,1181.0,1182.6712933778763,5.0,3.3287066221237183
1187.0,1181.0,1185.9200711250305,6.0,1.0799288749694824
1182.0,1176.0,1179.927475452423,6.0,2.0725245475769043
1178.0,1176.0,1179.927475452423,2.0,1.9274754524230957
1176.0,1178.0,1182.935775756836,2.0,6.9357757568359375
1174.0,1176.0,1174.6966705322266,2.0,0.6966705322265625
1168.0,1176.0,1174.6966705322266,8.0,6.6966705322265625
1168.0,1177.0,1169.001492023468,9.0,1.0014920234680176
1166.0,1177.0,1169.001492023468,11.0,3.0014920234680176
1159.0,1167.0,1155.1993465423584,8.0,3.8006534576416016
1156.0,1160.0,1152.4610047340393,4.0,3.5389952659606934
1153.0,1160.0,1155.9995555877686,7.0,2.9995555877685547
1151.0,1154.0,1149.9993000030518,3.0,1.0006999969482422
1150.0,1154.0,1149.9993000030518,4.0,0.0006999969482421875
1140.0,1149.0,1145.0165166854858,9.0,5.01651668548584
1138.0,1140.0,1130.9993743896484,2.0,7.0006256103515625
1139.0,1140.0,1137.8264214992523,1.0,1.1735785007476807
1131.0,1138.0,1135.6282169818878,7.0,4.628216981887817
1133.0,1129.0,1122.601016998291,4.0,10.398983001708984
1126.0,1117.0,1119.1309025287628,9.0,6.869097471237183
1133.0,1117.0,1124.800217628479,16.0,8.199782371520996
1122.0,1119.0,1134.6772203445435,3.0,12.677220344543457
1121.0,1119.0,1124.556118965149,2.0,3.556118965148926
1117.0,1121.0,1123.0948264598846,4.0,6.0948264598846436
1112.0,1115.0,1111.0022745132446,3.0,0.9977254867553711
1112.0,1115.0,1111.0022745132446,3.0,0.9977254867553711
1108.0,1112.0,1108.0016899108887,4.0,0.001689910888671875
1109.0,1112.0,1108.0016899108887,3.0,0.9983100891113281
1101.0,1105.0,1100.6355900764465,4.0,0.3644099235534668
1103.0,1105.0,1100.6355900764465,2.0,2.364409923553467
1101.0,1102.0,1098.0007576942444,1.0,2.9992423057556152
1101.0,1102.0,1098.0007576942444,1.0,2.9992423057556152
1098.0,1104.0,1100.0003380775452,6.0,2.000338077545166
1095.0,1108.0,1104.0013699531555,13.0,9.001369953155518
1094.0,1108.0,1095.0002765655518,14.0,1.0002765655517578
1094.0,1111.0,1097.9994792938232,17.0,3.999479293823242
1094.0,1111.0,1093.9790287017822,17.0,0.020971298217773438
1098.0,1109.0,1091.9806480407715,11.0,6.019351959228516
1100.0,1113.0,1102.000220298767,13.0,2.00022029876709
1094.0,1113.0,1102.000220298767,19.0,8.00022029876709
1099.0,1113.0,1094.0018196105957,14.0,4.998180389404297
1098.0,1113.0,1099.0000009536743,15.0,1.0000009536743164
1098.0,1087.0,1072.0210914611816,11.0,25.97890853881836
1100.0,1086.0,1091.6727719306946,14.0,8.32722806930542
1095.0,1086.0,1099.2024564743042,9.0,4.202456474304199
